department,n_years,mean_yield,tech_trend_yr,tech_trend_pval,coef_temp,coef_temp_pval,coef_precip,coef_precip_pval,coef_extreme_heat,coef_extreme_heat_pval,r2,adj_r2,tech_trend_sig,coef_temp_sig,coef_precip_sig,coef_extreme_heat_sig
Hautes_Alpes,33,3.7819088272973644,0.0198698336397162,0.05622939882965973,0.0407780825559879,0.7282225246743489,67.50452102558619,0.009433931552241221,0,,0.34293714881492143,0.27496512972680986,?,,**,
Calvados,33,6.6943593939393935,0.04372959173935628,0.0003328981065377475,0.04389148360271474,0.731221687349751,33.526391037037136,0.5707325303745412,0.10260740732737435,0.4754378387902476,0.4555589839011537,0.3777816958870328,***,,,
Haute_Savoie,33,5.202226005509642,0.05759955384281736,3.117811081375577e-05,0.04623815981866496,0.7449361587870476,60.041811690770146,0.42130396387892977,0,,0.5724507893011125,0.5282215606081242,***,,,
Sarthe,33,5.392406060606062,0.0672867265918736,1.2065914633153053e-05,0.04637539659441118,0.8071780460233575,-5.70887997,0.8703718012191315,0.004870975408855508,0.9112792967609593,0.6270202221845268,0.5737373967823164,***,,,
Gard,33,3.4726061904761907,0.036744021248936,0.0011135288416922093,0.04981809919732644,0.681250605793838,32.0481223663707,0.3405764202720558,-0.060602356,0.32454620541225254,0.4918616638970843,0.41927047302523923,**,,,
Yvelines,33,6.585381212121212,0.04613556378073671,0.000776866487262139,0.057610577351287086,0.7273928436001387,-47.10504597,0.7425680469178519,0.009075288150893458,0.8476013517750066,0.477426027372182,0.4027726027110652,***,,,
Pas_de_Calais,33,7.362631079820157,0.0537665254924548,1.3066555575794605e-05,0.06052967312082586,0.6261409637350457,-12.85573138,0.7686191991080252,-0.017850014,0.6545866453139435,0.5943527590881932,0.5364031532436494,***,,,
Loire_Atlantique,33,5.041073246753246,0.08560356928629337,1.0676797079071162e-05,0.0773809285443392,0.7262052516943627,-50.43748728,0.4474691336286972,-0.091040969,0.14053285797384502,0.6034916663973966,0.5468476187398819,***,,,
Rhone,33,5.194373569603087,0.04905191302201518,0.006315003536715298,0.08272392444537384,0.7210586306710369,23.12395328800136,0.7210915019168034,-0.021807698,0.8134578928003671,0.3360473982418507,0.24119702656211517,**,,,
Haute_Marne,33,5.376394242424242,0.05187825896944121,0.0009867706753074442,0.08308869971825752,0.6668717974033153,47.338681330113374,0.3219874378552221,-0.000831487,0.9927196429517235,0.3948291393118687,0.3083761592135642,***,,,
Drome,33,4.508731212121212,0.04399974168084478,0.0017725379368257392,0.08424732994329857,0.6089916685502513,15.986659911558556,0.5218416908843865,0,,0.43878499127059567,0.38072826622962286,**,,,
Vendee,33,5.293632424242425,0.05703107326744784,0.0031609177944444157,0.08859021086694281,0.7135139854073098,24.875827451577248,0.7998642576947453,-0.046514923,0.43237529063982594,0.40861818315608434,0.3241350664640964,**,,,
Seine_et_Marne,33,6.596338181818182,0.033228119592542536,0.015393483662921788,0.09257197112164153,0.6393532894702931,-61.85439241,0.7734505936854181,0.0069043986134251474,0.8784220209456273,0.34239692703544466,0.24845363089765105,*,,,
Mayenne,33,5.694900280103535,0.05696482023902469,0.00032772565859250595,0.09742300751240697,0.6496492206165109,-3.198492022,0.9689430042289546,-0.035825907,0.5436309594516757,0.49951405248315395,0.42801605998074743,***,,,
Ardeche,33,3.470667057360422,0.004002493968566756,0.7963599189299279,0.12168415453536947,0.5321956162608807,33.85901259076336,0.21285092330774205,0,,0.07032047886190806,-0.025853265,,,,
Lozere,33,3.0002066666666667,0.047226742723138065,0.003501133653587538,0.13996413533836852,0.454999924791763,10.111623647237451,0.7666492859597455,0,,0.4305339153041243,0.37162363068041304,**,,,
Nord,33,7.169053284193284,0.05781248187581226,5.553781569341023e-06,0.14039998513111251,0.2548751826461104,-7.736903427,0.8300842501489691,-0.035103101,0.4154348527172441,0.6441694571024028,0.593336522402746,***,,,
Aveyron,33,4.164712476943347,0.031213116964581223,0.011271185558126338,0.14158971806073986,0.36232496153698357,10.993457967730842,0.6284557610614511,-0.114982869,0.6708195266736336,0.415210130302878,0.33166872034614636,*,,,
Maine_et_Loire,33,5.222156326563508,0.06333936685993209,0.0013300919204011655,0.16372590034234066,0.5135688787663115,9.908358741640148,0.8174409821891904,-0.020465738,0.7037538444177357,0.4509537817404071,0.37251860770332246,**,,,
Haut_Rhin,32,5.536944123774511,0.05738399291521814,4.1116206117744547e-05,0.1699557489046989,0.30062920420333955,102.45283370669858,0.3599115532587611,0.08895372879524038,0.554107618767211,0.6102011047732545,0.5524531202952181,***,,,
Marne,33,6.965265410199557,0.018717569473762005,0.11509027064698663,0.17584256242500124,0.30377875531188203,28.98643308352216,0.439436008471504,0.00891796157662324,0.8296598095248109,0.2168053073354328,0.1049203512404947,,,,
Puy_de_Dome,33,5.320263035519597,0.02830715674762352,0.0420786546154391,0.19299053839226143,0.26374630638821744,93.10233056821599,0.11668856117704929,-0.123686025,0.7109200609953137,0.3136921932624488,0.21564822087137014,*,,,
Bas_Rhin,32,5.512023996454394,0.056143044079233595,3.616030441836328e-05,0.19366624744683794,0.2335380442760912,4.825090134492029,0.9453443941971265,-0.066307473,0.4210880395426878,0.6124791914027437,0.5550687012401871,***,,,
Yonne,33,5.7574358874642755,0.03433280357414866,0.007183200736531295,0.1958370449034661,0.29166188314948455,47.70179127856001,0.1349771089996693,-0.017503612,0.7413540972623047,0.3867043983162982,0.2990907409329123,**,,,
Cote_d_Or,33,5.497444132097677,0.04012501054484271,0.010277967250191637,0.20788289613243147,0.2963700332902206,32.86627638824602,0.37985033063897444,-0.071274461,0.4837375315659339,0.32807460150950984,0.23208525886801135,*,,,
Vaucluse,33,3.659312027972028,0.005553938102992402,0.6911922276282222,0.22465135169404696,0.19409132299804308,147.24607682704726,0.020272870384824677,-0.000519803,0.9915973743047531,0.25472576218967,0.14825801393105154,,,*,
Vosges,33,5.306040849233072,0.05047074600162744,0.0027186995268914877,0.22599017523340645,0.29962163478300424,42.07265360913266,0.4074951970070305,0.01270708803236157,0.9474462654935218,0.4140522281710003,0.33034540362400033,**,,,
Seine_Maritime,33,7.199755377523302,0.03478323903917053,0.0011251496597358187,0.22678396007642074,0.04212779730422922,64.04980955915221,0.0924343455576235,0.019449932586155242,0.8410692747629215,0.5250918146327215,0.45724778815168177,**,*,?,
